id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,Yearly_availability,host_type
8110,Brooklyn,Park Slope,40.68001,-73.97865,Private room,110,2,71,0.61,6,304,professional
30150667,Manhattan,Two Bridges,40.71261,-73.99475,Private room,62,1,7,0.93,1,58,single
10070235,Manhattan,Harlem,40.81566,-73.94293,Private room,95,180,0,,1,358,single
30353302,Queens,East Elmhurst,40.76185,-73.87392,Shared room,16,1,10,1.36,1,0,single
7461611,Brooklyn,Crown Heights,40.66514,-73.95688,Entire home/apt,185,3,56,1.25,1,333,single
28409399,Manhattan,Upper East Side,40.77878,-73.95694,Private room,130,1,15,1.56,1,0,single
13117094,Manhattan,East Harlem,40.79485,-73.94868,Entire home/apt,165,7,49,1.37,1,64,single
11484489,Manhattan,Nolita,40.72225,-73.99473,Entire home/apt,140,2,44,1.1,1,110,single
5926953,Brooklyn,Fort Greene,40.69634,-73.97296,Private room,70,1,152,3.02,1,249,single
24016646,Brooklyn,Bedford-Stuyvesant,40.68238,-73.92918,Entire home/apt,100,3,3,0.2,2,0,casual
18312568,Manhattan,Upper East Side,40.78093,-73.95499,Private room,100,5,71,2.67,1,66,single
13153856,Brooklyn,Williamsburg,40.71233,-73.94806,Entire home/apt,200,1,6,0.16,1,0,single
11190303,Manhattan,East Village,40.72196,-73.98345,Private room,108,2,36,1.18,1,51,single
13694429,Manhattan,Harlem,40.80968,-73.95355,Private room,69,4,0,,1,0,single
12534110,Brooklyn,Downtown Brooklyn,40.69531,-73.98306,Private room,80,5,0,,1,0,single
4753866,Manhattan,Harlem,40.82501,-73.95373,Private room,125,1,4,0.08,3,365,casual
4637014,Queens,Flushing,40.75398,-73.82778,Entire home/apt,119,3,26,0.46,2,319,casual
27215478,Manhattan,Midtown,40.76701,-73.98174,Entire home/apt,225,30,0,,65,249,professional
27529655,Queens,Flushing,40.75889,-73.82104,Private room,89,1,39,3.49,9,342,professional
21254023,Manhattan,Chelsea,40.74772,-74.002,Private room,110,2,2,0.1,1,0,single
10525911,Brooklyn,Williamsburg,40.71402,-73.94432,Entire home/apt,245,3,16,0.4,2,66,casual
23857837,Queens,Ridgewood,40.69729,-73.90571,Private room,50,1,22,1.53,7,59,professional
4909427,Manhattan,Lower East Side,40.71806,-73.98493,Private room,110,20,13,0.25,3,0,casual
3463385,Manhattan,Upper East Side,40.76717,-73.95532,Private room,95,1,202,3.31,2,263,casual
16529413,Brooklyn,Williamsburg,40.71753,-73.94946,Private room,48,2,1,0.03,1,0,single
26833963,Brooklyn,Williamsburg,40.71193,-73.95956,Entire home/apt,200,3,32,3.58,2,141,casual
31491866,Manhattan,Two Bridges,40.71261,-73.99506,Entire home/apt,250,3,21,3.64,1,148,single
36320933,Manhattan,Chelsea,40.74753,-73.9908,Shared room,75,2,0,,3,336,casual
9905142,Manhattan,East Village,40.73036,-73.98673,Entire home/apt,250,7,20,0.47,1,13,single
10732870,Manhattan,Washington Heights,40.83365,-73.94459,Private room,65,3,0,,1,0,single
34934431,Manhattan,Hell's Kitchen,40.76233,-73.98707,Entire home/apt,250,31,0,,5,322,casual
26183582,Manhattan,East Harlem,40.7898,-73.94853,Entire home/apt,169,5,45,3.56,1,150,single
3662827,Manhattan,Nolita,40.72168,-73.99544,Entire home/apt,191,3,51,0.88,1,55,single
728493,Manhattan,Harlem,40.81073,-73.9437,Private room,70,7,67,0.87,1,0,single
21889698,Brooklyn,Crown Heights,40.66373,-73.93222,Private room,55,30,1,0.1,2,137,casual
14695540,Brooklyn,Sunset Park,40.64737,-74.01357,Private room,47,2,60,1.71,1,4,single
28437554,Brooklyn,Fort Greene,40.69379,-73.97111,Private room,67,1,36,3.59,2,329,casual
13613052,Manhattan,Chelsea,40.74366,-74.0005,Private room,70,1,2,0.06,1,0,single
412061,Brooklyn,Crown Heights,40.67259,-73.95489,Entire home/apt,125,30,58,0.67,2,212,casual
34283312,Queens,Ridgewood,40.70805,-73.91535,Entire home/apt,170,7,0,,1,126,single
13550629,Manhattan,Hell's Kitchen,40.76054,-73.98971,Entire home/apt,199,4,0,,1,0,single
1223230,Manhattan,Tribeca,40.71908,-74.00546,Entire home/apt,290,1,21,0.29,1,128,single
24907355,Brooklyn,Bushwick,40.70202,-73.92675,Entire home/apt,150,28,0,,1,90,single
15087800,Queens,St. Albans,40.68461,-73.76899,Private room,65,1,98,2.87,5,180,casual
853900,Queens,Astoria,40.76488,-73.9297,Entire home/apt,95,30,0,,1,0,single
6934249,Brooklyn,Greenpoint,40.72464,-73.9533,Entire home/apt,149,7,7,0.15,1,0,single
11326009,Manhattan,Hell's Kitchen,40.7651,-73.98854,Private room,79,1,2,0.05,2,0,casual
752783,Brooklyn,Windsor Terrace,40.65142,-73.97601,Entire home/apt,149,21,52,0.64,2,0,casual
13603951,Manhattan,Midtown,40.75561,-73.96472,Entire home/apt,175,4,0,,1,0,single
36146653,Brooklyn,Bushwick,40.70567,-73.92359,Private room,70,2,0,,1,5,single
7966447,Manhattan,SoHo,40.72251,-73.99957,Private room,50,1,0,,1,0,single
13059537,Manhattan,Financial District,40.7034,-74.00787,Entire home/apt,175,30,2,0.1,96,365,professional
31564614,Queens,Long Island City,40.75683,-73.93184,Private room,55,1,29,5.37,2,1,casual
22148115,Brooklyn,Williamsburg,40.70979,-73.96631,Entire home/apt,120,1,0,,1,0,single
13529652,Staten Island,Tompkinsville,40.63598,-74.07943,Entire home/apt,105,2,132,3.55,1,318,single
5925343,Brooklyn,Clinton Hill,40.68963,-73.96713,Private room,259,1,94,1.85,11,365,professional
27290648,Manhattan,Upper East Side,40.76618,-73.9562,Private room,99,1,18,1.66,5,0,casual
23171129,Manhattan,Murray Hill,40.74668,-73.97309,Entire home/apt,145,10,2,0.13,1,0,single
28964081,Manhattan,Chelsea,40.74377,-73.99905,Entire home/apt,137,4,1,0.16,2,0,casual
18254225,Manhattan,Hell's Kitchen,40.76658,-73.99335,Entire home/apt,250,4,0,,1,0,single
7664692,Brooklyn,Borough Park,40.63574,-74.00329,Shared room,33,1,73,1.53,2,365,casual
25311740,Queens,Ditmars Steinway,40.77975,-73.92087,Entire home/apt,100,14,0,,1,189,single
1087215,Manhattan,Chelsea,40.74877,-73.9994,Entire home/apt,300,5,44,0.62,1,87,single
12386579,Manhattan,Inwood,40.87133,-73.91562,Private room,50,2,74,1.98,1,310,single
8704348,Queens,Astoria,40.76512,-73.92431,Entire home/apt,135,3,11,0.24,1,0,single
28518320,Brooklyn,Carroll Gardens,40.68036,-73.99247,Entire home/apt,180,3,4,0.53,1,5,single
13494825,Brooklyn,Bedford-Stuyvesant,40.68881,-73.94991,Private room,125,3,1,0.03,1,0,single
18551084,Brooklyn,Williamsburg,40.71435,-73.95508,Private room,70,1,13,0.49,2,0,casual
4423650,Manhattan,Upper West Side,40.79913,-73.95932,Private room,97,2,114,2.0,1,363,single
19644363,Brooklyn,Gowanus,40.67718,-73.98513,Entire home/apt,225,1,67,2.98,2,350,casual
